22 0 0  0.000000 0.000000 0.000000
82 1 3  -118.000000 0.000000 86.000000
121 2 3  -134.000000 0.000000 54.000000
105 3 4  -70.000000 0.000000 70.000000
65 4 3  -70.000000 0.000000 102.000000
108 5 3  -22.000000 0.000000 70.000000
48 6 4  -22.000000 0.000000 118.000000
30 7 3  10.000000 0.000000 134.000000
91 8 3  26.000000 0.000000 86.000000
53 9 3  58.000000 0.000000 118.000000
113 10 4  58.000000 0.000000 70.000000
115 11 4  90.000000 0.000000 70.000000
75 12 3  90.000000 0.000000 102.000000
37 13 3  122.000000 0.000000 134.000000
158 14 3  138.000000 0.000000 38.000000
215 15 3  90.000000 0.000000 -10.000000
213 16 4  58.000000 0.000000 -10.000000
171 17 1  26.000000 0.000000 22.000000
228 18 3  -22.000000 0.000000 -26.000000
269 19 4  -6.000000 0.000000 -58.000000
292 20 5  42.000000 0.000000 -74.000000
333 21 5  58.000000 0.000000 -106.000000
377 22 5  122.000000 0.000000 -138.000000
318 23 5  138.000000 0.000000 -90.000000
371 24 5  26.000000 0.000000 -138.000000
369 25 5  -6.000000 0.000000 -138.000000
348 26 5  -22.000000 0.000000 -122.000000
362 27 5  -118.000000 0.000000 -138.000000
341 28 5  -134.000000 0.000000 -122.000000
324 29 5  -86.000000 0.000000 -106.000000
326 30 5  -54.000000 0.000000 -106.000000
282 31 5  -118.000000 0.000000 -74.000000
244 32 5  -86.000000 0.000000 -42.000000
202 33 5  -118.000000 0.000000 -10.000000
163 34 5  -102.000000 0.000000 22.000000
167 35 5  -38.000000 0.000000 22.000000
276 36 5  106.000000 0.000000 -58.000000
218 37 5  138.000000 0.000000 -10.000000
266 38 5  -54.000000 0.000000 -58.000000
129 39 5  -54.000000 0.000000 54.000000
174 40 5  74.000000 0.000000 22.000000
111 41 1  -7.000000 0.000000 140.000000
111 42 1  -2.000000 0.000000 140.000000
111 43 1  -7.000000 0.000000 150.000000
111 44 1  -2.000000 0.000000 150.000000
111 45 1  -7.000000 0.000000 160.000000
111 46 1  -2.000000 0.000000 160.000000
111 47 1  90.000000 0.000000 -7.000000
111 48 1  90.000000 0.000000 -2.000000
111 49 1  100.000000 0.000000 -7.000000
111 50 1  100.000000 0.000000 -2.000000
111 51 1  110.000000 0.000000 -7.000000
111 52 1  110.000000 0.000000 -2.000000
111 53 1  -7.000000 0.000000 -90.000000
111 54 1  -2.000000 0.000000 -90.000000
111 55 1  -7.000000 0.000000 -100.000000
111 56 1  -2.000000 0.000000 -100.000000
111 57 1  -7.000000 0.000000 -110.000000
111 58 1  -2.000000 0.000000 -110.000000
111 59 1  -90.000000 0.000000 -7.000000
111 60 1  -90.000000 0.000000 -2.000000
111 61 1  -100.000000 0.000000 -7.000000
111 62 1  -100.000000 0.000000 -2.000000
111 63 1  -110.000000 0.000000 -7.000000
111 64 1  -110.000000 0.000000 -2.000000
111 65 1  -7.000000 0.000000 145.000000
111 66 1  -2.000000 0.000000 145.000000
111 67 1  -7.000000 0.000000 155.000000
111 68 1  -2.000000 0.000000 155.000000
111 69 1  -7.000000 0.000000 165.000000
111 70 1  -2.000000 0.000000 165.000000
111 71 1  95.000000 0.000000 -7.000000
111 72 1  95.000000 0.000000 -2.000000
111 73 1  105.000000 0.000000 -7.000000
111 74 1  105.000000 0.000000 -2.000000
111 75 1  115.000000 0.000000 -7.000000
111 76 1  115.000000 0.000000 -2.000000
111 77 1  -7.000000 0.000000 -95.000000
111 78 1  -2.000000 0.000000 -95.000000
111 79 1  -7.000000 0.000000 -105.000000
111 80 1  -2.000000 0.000000 -105.000000
111 81 1  -7.000000 0.000000 -115.000000
111 82 1  -2.000000 0.000000 -115.000000
111 83 1  -95.000000 0.000000 -7.000000
111 84 1  -95.000000 0.000000 -2.000000
111 85 1  -105.000000 0.000000 -7.000000
111 86 1  -105.000000 0.000000 -2.000000
111 87 1  -115.000000 0.000000 -7.000000
111 88 1  -115.000000 0.000000 -2.000000
111 41 2  -70.000000 0.000000 -140.000000
111 42 2  -20.000000 0.000000 140.000000
111 43 2  -700.000000 0.000000 -150.000000
111 44 2  -200.000000 0.000000 150.000000
111 45 2  -7.000000 0.000000 -160.000000
111 46 2  -2.000000 0.000000 160.000000
111 47 2  900.000000 0.000000 -700.000000
111 48 2  9.000000 0.000000 -200.000000
111 49 2  1.000000 0.000000 -70.000000
111 50 2  100.000000 0.000000 -20.000000
111 51 2  11.000000 0.000000 -7.000000
111 52 2  110.000000 0.000000 -2.000000
111 53 2  -700.000000 0.000000 -900.000000
111 54 2  -200.000000 0.000000 -90.000000
111 55 2  -70.000000 0.000000 -10.000000
111 56 2  -20.000000 0.000000 -100.000000
111 57 2  7.000000 0.000000 -11.000000
111 58 2  2.000000 0.000000 -110.000000
111 59 2  90.000000 0.000000 -70.000000
111 60 2  90.000000 0.000000 -20.000000
111 61 2  100.000000 0.000000 -700.000000
111 62 2  100.000000 0.000000 -200.000000
111 63 2  110.000000 0.000000 -7.000000
111 64 2  110.000000 0.000000 -2.000000
111 65 2  7.000000 0.000000 -145.000000
111 66 2  2.000000 0.000000 145.000000
111 67 2  7.000000 0.000000 -155.000000
111 68 2  2.000000 0.000000 155.000000
111 69 2  7.000000 0.000000 -165.000000
111 70 2  2.000000 0.000000 165.000000
111 71 2  95.000000 0.000000 -7.000000
111 72 2  95.000000 0.000000 -2.000000
111 73 2  105.000000 0.000000 -7.000000
111 74 2  105.000000 0.000000 -2.000000
111 75 2  115.000000 0.000000 -7.000000
111 76 2  115.000000 0.000000 -2.000000
111 77 2  -7.000000 0.000000 -95.000000
111 78 2  -2.000000 0.000000 -95.000000
111 79 2  -7.000000 0.000000 -105.000000
111 80 2  -2.000000 0.000000 -105.000000
111 81 2  -7.000000 0.000000 -115.000000
111 82 2  -2.000000 0.000000 -115.000000
111 83 2  -95.000000 0.000000 -7.000000
111 84 2  -95.000000 0.000000 -2.000000
111 85 2  -105.000000 0.000000 -70.000000
111 86 2  -105.000000 0.000000 -20.000000
111 87 2  -115.000000 0.000000 -700.000000
111 88 2  -115.000000 0.000000 -200.000000
